nl,nl type,chart,hardness,table name,database,label,column,aggregate,mark,encoding,sort,filter
Chart the research staff details in alphabetical order.,abstract,Bar,Medium,Research_Staff,tracking_grants_for_research,mark bar data research_staff encoding x staff_details y aggregate count staff_details transform group x sort x asc,staff_details,count staff_details,bar,"x=staff_details,y=count staff_details,color=none",x asc,none
Visualize the research staff details alphabetically.,abstract,Bar,Medium,Research_Staff,tracking_grants_for_research,mark bar data research_staff encoding x staff_details y aggregate count staff_details transform group x ,staff_details,count staff_details,bar,"x=staff_details,y=count staff_details,color=none",none,none
"What is the count of research staff details, ordered alphabetically?",abstract,Bar,Medium,Research_Staff,tracking_grants_for_research,mark bar data research_staff encoding x staff_details y aggregate count staff_details transform group x sort x asc,staff_details,count staff_details,bar,"x=staff_details,y=count staff_details,color=none",x asc,none
Graph the amount of transactions for each transaction type.,abstract,Pie,Easy,TRANSACTIONS,tracking_share_transactions,mark arc data transactions encoding x transaction_type_code y aggregate mean amount_of_transaction transform group x,"transaction_type_code,amount_of_transaction",mean amount_of_transaction,arc,"x=transaction_type_code,y=mean amount_of_transaction,color=none",none,none
What's the breakdown of average transaction amounts by type?,abstract,Pie,Easy,TRANSACTIONS,tracking_share_transactions,mark arc data transactions encoding x transaction_type_code y aggregate mean amount_of_transaction transform group x,"transaction_type_code,amount_of_transaction",mean amount_of_transaction,arc,"x=transaction_type_code,y=mean amount_of_transaction,color=none",none,none
Plot the average transaction amount for each transaction type.,abstract,Pie,Easy,TRANSACTIONS,tracking_share_transactions,mark arc data transactions encoding x transaction_type_code y aggregate mean amount_of_transaction transform group x,"transaction_type_code,amount_of_transaction",mean amount_of_transaction,arc,"x=transaction_type_code,y=mean amount_of_transaction,color=none",none,none
Show me the average transaction amount for each transaction type.,abstract,Pie,Easy,TRANSACTIONS,tracking_share_transactions,mark arc data transactions encoding x transaction_type_code y aggregate mean amount_of_transaction transform group x,"transaction_type_code,amount_of_transaction",mean amount_of_transaction,arc,"x=transaction_type_code,y=mean amount_of_transaction,color=none",none,none
Plot the amount of transactions for each investor. ,abstract,Scatter,Easy,TRANSACTIONS,tracking_share_transactions,mark point data transactions encoding x investor_id y aggregate count investor_id transform group x,investor_id,count investor_id,point,"x=investor_id,y=count investor_id,color=none",none,none
What are the details of the lots? ,abstract,Bar,Medium,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x ,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
How many lots do I have? ,abstract,Bar,Medium,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x ,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
Show me the lot information. ,abstract,Bar,Medium,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x ,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
What's the count of each lot detail? ,abstract,Bar,Medium,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x ,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
Show me a graph of the lot details.,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
What does the lot details distribution look like?,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
Give me a visualization of the lot details. ,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
What's the breakdown of lot details? ,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
Can I see a chart of the lot details? ,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
What does the lot details look like?,abstract,Bar,Easy,LOTS,tracking_share_transactions,mark bar data lots encoding x lot_details y aggregate count lot_details transform group x,lot_details,count lot_details,bar,"x=lot_details,y=count lot_details,color=none",none,none
Visualize the amount of investors,abstract,Bar,Easy,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
Display the details of investors in a chart,abstract,Bar,Easy,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
How many investors are there? Show me in a graph,abstract,Bar,Easy,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
Show me a graph with the investor details,abstract,Bar,Easy,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
"Create a chart of the investor details, please",abstract,Bar,Easy,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
"Give me an overview of the investor details, visualized in a bar chart from most to least.",abstract,Bar,Medium,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x sort y desc,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",y desc,none
"Can I see a graph of the investors listed, showing how many investor details each has?",abstract,Bar,Medium,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x ,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
Generate a bar chart that distinguishes the amount of investor details for each investor.,abstract,Bar,Medium,INVESTORS,tracking_share_transactions,mark bar data investors encoding x investor_details y aggregate count investor_details transform group x ,Investor_details,count Investor_details,bar,"x=Investor_details,y=count Investor_details,color=none",none,none
Show me the problem log for problem 10.,abstract,Bar,Easy,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_date y aggregate none problem_log_id transform filter problem_id = 10,"log_entry_date,problem_log_id",none,bar,"x=log_entry_date,y=problem_log_id,color=none",none,problem_id = 10
What were the log entries for problem 10?,abstract,Bar,Easy,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_date y aggregate none problem_log_id transform filter problem_id = 10,"log_entry_date,problem_log_id",none,bar,"x=log_entry_date,y=problem_log_id,color=none",none,problem_id = 10
Are there any logs for problem 10?,abstract,Bar,Easy,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_date y aggregate none problem_log_id transform filter problem_id = 10,"log_entry_date,problem_log_id",none,bar,"x=log_entry_date,y=problem_log_id,color=none",none,problem_id = 10
What was the log entry date for problem 10?,abstract,Bar,Easy,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_date y aggregate none problem_log_id transform filter problem_id = 10,"log_entry_date,problem_log_id",none,bar,"x=log_entry_date,y=problem_log_id,color=none",none,problem_id = 10
Give me the log details for problem 10.,abstract,Bar,Easy,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_date y aggregate none problem_log_id transform filter problem_id = 10,"log_entry_date,problem_log_id",none,bar,"x=log_entry_date,y=problem_log_id,color=none",none,problem_id = 10
"Show me a chart of the log entries, sorted by how many there are.",abstract,Bar,Medium,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_description y aggregate count log_entry_description transform group x sort y asc,log_entry_description,count log_entry_description,bar,"x=log_entry_description,y=count log_entry_description,color=none",y asc,none
How many of each log entry are there? Visualize it.,abstract,Bar,Medium,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_description y aggregate count log_entry_description transform group x ,log_entry_description,count log_entry_description,bar,"x=log_entry_description,y=count log_entry_description,color=none",none,none
"Can I see a graph of the log entry descriptions, ordered by frequency?",abstract,Bar,Medium,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_description y aggregate count log_entry_description transform group x sort y asc,log_entry_description,count log_entry_description,bar,"x=log_entry_description,y=count log_entry_description,color=none",y asc,none
"Create a bar chart of the log entry descriptions, arranged in order of most to least.",abstract,Bar,Medium,problem_log,tracking_software_problems,mark bar data problem_log encoding x log_entry_description y aggregate count log_entry_description transform group x sort y asc,log_entry_description,count log_entry_description,bar,"x=log_entry_description,y=count log_entry_description,color=none",y asc,none
"Can you give me a visualization of the languages and number of TV Channels using it, ranked from most to least?",abstract,Bar,Medium,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x sort x desc,Language,count Language,bar,"x=Language,y=count Language,color=none",x desc,none
What does the bar chart look like for the languages and number of TV Channels?,abstract,Bar,Medium,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x ,Language,count Language,bar,"x=Language,y=count Language,color=none",none,none
"Create a bar chart comparing the languages and how many TV Channels are there for each one, descending order.",abstract,Bar,Medium,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x sort x desc,Language,count Language,bar,"x=Language,y=count Language,color=none",x desc,none
Show me the number of channels by language in a bar chart.,abstract,Bar,Easy,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,bar,"x=Language,y=count Language,color=none",none,none
Display the TV channels by language as a bar graph.,abstract,Bar,Easy,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,bar,"x=Language,y=count Language,color=none",none,none
Visualize the languages and the number of channels in a bar graph.,abstract,Bar,Easy,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,bar,"x=Language,y=count Language,color=none",none,none
Plot the count of TV channels by language.,abstract,Bar,Easy,TV_Channel,tvshow,mark bar data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,bar,"x=Language,y=count Language,color=none",none,none
Show me a breakdown of languages used by TV channels.,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
What proportion of TV channels use each language?,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
Display the language distribution of TV channels.,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
Can you show me the languages of the TV channels?,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
What are the languages used for TV channels?,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
What's the language breakdown for TV channels?,abstract,Pie,Easy,TV_Channel,tvshow,mark arc data tv_channel encoding x language y aggregate count language transform group x,Language,count Language,arc,"x=Language,y=count Language,color=none",none,none
Can I get a chart with the pixel aspect ratio and country of origin for tv stations that don't use English?,abstract,Bar,Hard,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x ,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
What's the comparison of pixel aspect ratio and country of origin for tv channels that aren't in English?,abstract,Bar,Hard,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x ,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Can I view a chart of pixel aspect ratio and country of origin for non-English channels?,abstract,Bar,Hard,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x ,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Show me the number of different pixel aspect ratios for the tv channels that don't use English.,abstract,Bar,Medium,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Show me the comparison of the nations and pixel aspect ratio of non-English tv channels.,abstract,Bar,Medium,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Give me a chart of the pixel aspect ratio and nation of non-English tv channels.,abstract,Bar,Medium,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
How many different pixel aspect ratios do the non-English tv channels have?,abstract,Bar,Medium,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
What are the pixel aspect ratios of the non-English tv channels?,abstract,Bar,Medium,tv_channel,tvshow,mark bar data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,bar,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Show me a chart of the pixel aspect ratio and country of origin of the TV channels that don't use English. ,abstract,Pie,Medium,tv_channel,tvshow,mark arc data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,arc,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
What is the country and aspect ratio of TV channels not using English?,abstract,Pie,Medium,tv_channel,tvshow,mark arc data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,arc,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Chart the proportion of pixel aspect ratio and country of origin for non-English channels.,abstract,Pie,Medium,tv_channel,tvshow,mark arc data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,arc,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Give me a graph of the nation and aspect ratio of TV channels not in English.,abstract,Pie,Medium,tv_channel,tvshow,mark arc data tv_channel encoding x pixel_aspect_ratio_par y aggregate count pixel_aspect_ratio_par transform filter language != 'english' group x,Pixel_aspect_ratio_PAR,count Pixel_aspect_ratio_PAR,arc,"x=Pixel_aspect_ratio_PAR,y=count Pixel_aspect_ratio_PAR,color=none",none,Language != 'English'
Can you show me the enrollment of schools founded after 1850 grouped by affiliation type?,abstract,Bar,Hard,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x ,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Graph the number of students enrolled in colleges founded after 1850 based on their affiliations.,abstract,Bar,Hard,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x ,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
I'd like to view a bar chart comparing the number of students enrolled in institutions founded after 1850 by their affiliation.,abstract,Bar,Hard,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x ,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Can I see a chart with the total enrollment of schools founded after 1850 by affiliation?,abstract,Bar,Hard,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x ,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Show me a chart of enrollment in schools founded after 1850 split by affiliation.,abstract,Bar,Hard,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x ,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Show me the enrollment of colleges that were founded after 1850 for each affiliation type.,abstract,Pie,Medium,university,university_basketball,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x,"Affiliation,Enrollment",sum Enrollment,arc,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
What's the enrollment of schools founded after 1850 for each affiliation?,abstract,Pie,Medium,university,university_basketball,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x,"Affiliation,Enrollment",sum Enrollment,arc,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
What are the affiliations and enrollment numbers of schools founded after 1850?,abstract,Pie,Medium,university,university_basketball,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x,"Affiliation,Enrollment",sum Enrollment,arc,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Can I get a chart of the enrollments of colleges founded after 1850?,abstract,Pie,Medium,university,university_basketball,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x,"Affiliation,Enrollment",sum Enrollment,arc,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Draw a graph showing the enrollment of schools founded after 1850 by affiliation.,abstract,Pie,Medium,university,university_basketball,mark arc data university encoding x affiliation y aggregate sum enrollment transform filter founded > 1850 group x,"Affiliation,Enrollment",sum Enrollment,arc,"x=Affiliation,y=sum Enrollment,color=none",none,Founded gt 1850
Plot enrollments of universities by affiliation.,abstract,Bar,Easy,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform group x,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,none
What do enrollments of universities look like based on affiliation type?,abstract,Bar,Easy,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform group x,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,none
Show me the sum of enrollments for each type of university affiliation.,abstract,Bar,Easy,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform group x,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,none
Create a chart of university affiliation and enrollment.,abstract,Bar,Easy,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform group x,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,none
Display a graph of university affiliation and enrollment numbers.,abstract,Bar,Easy,university,university_basketball,mark bar data university encoding x affiliation y aggregate sum enrollment transform group x,"Affiliation,Enrollment",sum Enrollment,bar,"x=Affiliation,y=sum Enrollment,color=none",none,none
"Show me a graph of the school_id compared to the ACC_Road, grouped by ACC_Home, with the Y-axis in descending order.",abstract,Stacked Bar,Medium,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc,"ACC_Road,School_ID,ACC_Home",none,bar,"x=ACC_Road,y=School_ID,color=ACC_Home",y desc,none
"Can I get a bar chart of the distribution of the ACC_Roads and the School_ID, grouped by ACC_Home, with the Y-axis descending?",abstract,Stacked Bar,Medium,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc,"ACC_Road,School_ID,ACC_Home",none,bar,"x=ACC_Road,y=School_ID,color=ACC_Home",y desc,none
"What would a chart of School_ID against ACC_Road look like, grouped by ACC_Home with the Y-axis in descending order?",abstract,Stacked Bar,Medium,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc,"ACC_Road,School_ID,ACC_Home",none,bar,"x=ACC_Road,y=School_ID,color=ACC_Home",y desc,none
Can I see a graph showing the School_ID by ACC_Road and grouping by ACC_Home ordered by Y-axis?,abstract,Stacked Bar,Medium,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc,"ACC_Road,School_ID,ACC_Home",none,bar,"x=ACC_Road,y=School_ID,color=ACC_Home",y desc,none
"Give me a visualization of the breakdown of ACC_Roads and School_ID, grouped by ACC_Home, ordered by Y?",abstract,Stacked Bar,Medium,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none school_id color acc_home transform group x sort y desc,"ACC_Road,School_ID,ACC_Home",none,bar,"x=ACC_Road,y=School_ID,color=ACC_Home",y desc,none
"Can you generate a chart that compares the Team_Name and School_ID, and list from lowest to highest?",abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",y asc,none
Show me a graphic of the distribution between Team_Name and School_ID.,abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform ,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",none,none
"Make me a chart about Team_Name and School_ID, ordered in ascending.",abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",y asc,none
"Plot a graph of Team_Name against School_ID, sorted in ascending order.",abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",y asc,none
"Draw me a chart of Team_Name and School_ID, in ascending order.",abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",y asc,none
"Show me the relation between Team_Name and School_ID, from low to high.",abstract,Bar,Easy,basketball_match,university_basketball,mark bar data basketball_match encoding x team_name y aggregate none school_id transform sort y asc,"Team_Name,School_ID",none,bar,"x=Team_Name,y=School_ID,color=none",y asc,none
Can I see a scatter chart of School_ID and ACC_Percent sorted by ACC_Home?,abstract,Grouping Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x school_id y aggregate none acc_percent transform group acc_home,"School_ID,ACC_Percent,ACC_Home",none,point,"x=School_ID,y=ACC_Percent,color=ACC_Home",none,none
Show me the relationship of School_ID and ACC_Percent grouped by ACC_Home.,abstract,Grouping Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x school_id y aggregate none acc_percent transform group acc_home,"School_ID,ACC_Percent,ACC_Home",none,point,"x=School_ID,y=ACC_Percent,color=ACC_Home",none,none
Give me a chart of School_ID vs ACC_Percent grouped by ACC_Home.,abstract,Grouping Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x school_id y aggregate none acc_percent transform group acc_home,"School_ID,ACC_Percent,ACC_Home",none,point,"x=School_ID,y=ACC_Percent,color=ACC_Home",none,none
Display a graph of ACC_Percent by School_ID based on ACC_Home.,abstract,Grouping Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x school_id y aggregate none acc_percent transform group acc_home,"School_ID,ACC_Percent,ACC_Home",none,point,"x=School_ID,y=ACC_Percent,color=ACC_Home",none,none
What does the scatter plot of School_ID and ACC_Percent look like when grouped by ACC_Home?,abstract,Grouping Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x school_id y aggregate none acc_percent transform group acc_home,"School_ID,ACC_Percent,ACC_Home",none,point,"x=School_ID,y=ACC_Percent,color=ACC_Home",none,none
Give me a graph that compares Team_ID and School_ID.,abstract,Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x team_id y aggregate none school_id,"Team_ID,School_ID",none,point,"x=Team_ID,y=School_ID,color=none",none,none
Show me how Team_ID and School_ID are related.,abstract,Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x team_id y aggregate none school_id,"Team_ID,School_ID",none,point,"x=Team_ID,y=School_ID,color=none",none,none
Show me the link between Team_ID and School_ID.,abstract,Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x team_id y aggregate none school_id,"Team_ID,School_ID",none,point,"x=Team_ID,y=School_ID,color=none",none,none
Illustrate the relationship between Team_ID and School_ID.,abstract,Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x team_id y aggregate none school_id,"Team_ID,School_ID",none,point,"x=Team_ID,y=School_ID,color=none",none,none
Create a chart of Team_ID and School_ID.,abstract,Scatter,Easy,basketball_match,university_basketball,mark point data basketball_match encoding x team_id y aggregate none school_id,"Team_ID,School_ID",none,point,"x=Team_ID,y=School_ID,color=none",none,none
Draw a chart of All_Neutral and School_ID.,abstract,Pie,Easy,basketball_match,university_basketball,mark arc data basketball_match encoding x all_neutral y aggregate none school_id,"All_Neutral,School_ID",none,arc,"x=All_Neutral,y=School_ID,color=none",none,none
Can I see a graph of All_Neutral and School_ID proportions?,abstract,Pie,Easy,basketball_match,university_basketball,mark arc data basketball_match encoding x all_neutral y aggregate none school_id,"All_Neutral,School_ID",none,arc,"x=All_Neutral,y=School_ID,color=none",none,none
Show me the School_ID and All_Neutral in a chart.,abstract,Pie,Easy,basketball_match,university_basketball,mark arc data basketball_match encoding x all_neutral y aggregate none school_id,"All_Neutral,School_ID",none,arc,"x=All_Neutral,y=School_ID,color=none",none,none
Make a chart to visualize All_Neutral and School_ID.,abstract,Pie,Easy,basketball_match,university_basketball,mark arc data basketball_match encoding x all_neutral y aggregate none school_id,"All_Neutral,School_ID",none,arc,"x=All_Neutral,y=School_ID,color=none",none,none
What does the School_ID and All_Neutral look like in a graph?,abstract,Pie,Easy,basketball_match,university_basketball,mark arc data basketball_match encoding x all_neutral y aggregate none school_id,"All_Neutral,School_ID",none,arc,"x=All_Neutral,y=School_ID,color=none",none,none
"Show how Team_ID is related to ACC_Road, grouped by All_Home.",abstract,Stacked Bar,Extra Hard,basketball_match,university_basketball,mark bar data basketball_match encoding x acc_road y aggregate none team_id color all_home transform group x,"ACC_Road,Team_ID,All_Home",none,bar,"x=ACC_Road,y=Team_ID,color=All_Home",none,none
